Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-12-17,3957.042448,4020.46459,4113.9,3956.176
ETH,2021-12-18,3877.5,3957.042787,3993.96,3700.05
ETH,2021-12-19,3962.02,3877.5,3998.1,3770.85
ETH,2021-12-20,3924.82665,3961.92,4030.11,3890
ETH,2021-12-21,3942.035523,3924.826241,3980.01,3756.51
ETH,2021-12-22,4018.39,3942.150555,4063,3915.94
ETH,2021-12-23,3981.118385,4018.39,4073.583314,3939.59
ETH,2021-12-24,4111.281482,3981.120034,4153.82,3897.1
ETH,2021-12-25,4046.448933,4111.86,4135.79,4021.77
ETH,2021-12-26,4097.52044,4046.801259,4138.830561,4026.46
ETH,2021-12-27,4064.820722,4097.479744,4106.05,4008.32
ETH,2021-12-28,4037.374949,4064.648316,4127.6,4035.548461
ETH,2021-12-29,3793.79,4037.374393,4037.863798,3761.35
ETH,2021-12-30,3628.882034,3793.67,3826.67752,3604.99
ETH,2021-12-31,3710.231568,3628.940621,3768.865221,3587.11
ETH,2022-01-01,3676.966786,3710.143956,3812.68,3622.688657
ETH,2022-01-02,3766.822444,3676.884634,3776.386297,3676.510346
ETH,2022-01-03,3831.536416,3766.860399,3853.55,3719.14
ETH,2022-01-04,3763.94,3831.30498,3849.97,3682.83
ETH,2022-01-05,3786.64,3763.94,3891,3715.02
ETH,2022-01-06,3536.675214,3786.64,3846.74,3416.291762
ETH,2022-01-07,3408.497714,3538.66,3547.77,3300.44
ETH,2022-01-08,3195.41058,3408.452115,3413.5,3076
ETH,2022-01-09,3080.715902,3195.755019,3245.65,3001.014781
ETH,2022-01-10,3150.704468,3080.672489,3210.837775,3060.38
ETH,2022-01-11,3085.43,3151.3,3179.8,2930.510779
ETH,2022-01-12,3239.692938,3084.65,3263.351453,3055.0256
ETH,2022-01-13,3372.718633,3239.670169,3412.44,3208.59
ETH,2022-01-14,3240.86,3372.71848,3411.26,3235.11
ETH,2022-01-15,3310.13,3241.82,3342,3192.08
ETH,2022-01-16,3328.906577,3310.300967,3373.06,3263.96
ETH,2022-01-17,3349.759674,3328.907018,3390.65,3275.97
ETH,2022-01-18,3210.941462,3349.761763,3358.43,3144.64
ETH,2022-01-19,3161.615561,3211.002963,3242.59,3086
ETH,2022-01-20,3084.948083,3161.623576,3173.48,3049.732063
ETH,2022-01-21,3004.102711,3084.949994,3271.241,2987.04
ETH,2022-01-22,2569.66,3003.94155,3032.67,2470.05
ETH,2022-01-23,2411.906365,2569.66,2624.08,2303.28
